Name,Phone,Website,Address,Source,Created At
Cafe,,,"141a Tornike Eristavi St, Tbilisi",google_maps,2026-02-08T20:03:56.164Z
Salut! (coffee),,https://www.instagram.com/salut.coffee.tbi,"4 Murman Lebanidze St, Tbilisi 0102",google_maps,2026-02-08T20:03:58.969Z
Caffeine by WorkIn,,,"34 Pekini Ave, Tbilisi",google_maps,2026-02-08T20:04:01.446Z
OKRO Coffee Roastery,591 10 44 74,https://www.instagram.com/okroroastery,"12 Iakob Nikoladze St, Tbilisi 0179",google_maps,2026-02-08T20:04:03.774Z
Praline,599 73 67 36,https://www.instagram.com/pastrypraline,"2 Ivane Tarkhnishvili St, Tbilisi 0179",google_maps,2026-02-08T20:04:05.969Z
Cafe Mziuri,577 68 75 75,http://www.cafemziuri.ge/,"მზიური Chavchavadze Street 23 T'bilisi, 0179",google_maps,2026-02-08T20:04:08.395Z
Early Bird Coffee,551 00 74 91,https://instagram.com/earlybirdtbilisi?igshid=YmMyMTA2M2Y=,"Базалети 2, 2 Bazaleti St, Tbilisi",google_maps,2026-02-08T20:04:10.877Z
Shavi Coffee Roasters - Ninoshvili,,https://www.shavi.coffee/,"17 Egnate Ninoshvili St, Tbilisi 0112",google_maps,2026-02-08T20:04:13.178Z
26.05.coffee,,https://www.instagram.com/26.05.coffee,"6a G.Avkhlediani, Tbilisi",google_maps,2026-02-08T20:04:15.644Z
Chika,032 245 44 54,http://instagram.com/chika.coffee/,"9 Merab Kostava St, Tbilisi 0108",google_maps,2026-02-08T20:04:18.062Z
